pwsid,year,source_type,source_status,number_of_sources
CA0110001,2022,groundwater,approved,22
CA0110001,2022,surface water,approved,2
CA0110001,2022,purchased groundwater,approved,0
CA0110001,2022,purchased surface water,approved,9
CA0110001,2022,standby sources,approved,2
CA0110001,2022,emergency interties,approved,4
CA0110001,2022,inactive,approved,15
CA0110001,2022,proposed,approved,0
CA0110003,2022,groundwater,approved,10
CA0110003,2022,surface water,approved,0
CA0110003,2022,purchased groundwater,approved,0
CA0110003,2022,purchased surface water,approved,2
CA0110003,2022,standby sources,approved,0
CA0110003,2022,emergency interties,approved,0
CA0110003,2022,inactive,approved,5
CA0110003,2022,proposed,approved,0
CA0110005,2022,groundwater,approved,0
CA0110005,2022,surface water,approved,9
CA0110005,2022,purchased groundwater,approved,0
CA0110005,2022,purchased surface water,approved,0
CA0110005,2022,standby sources,approved,0
CA0110005,2022,emergency interties,approved,1
CA0110005,2022,inactive,approved,2
CA0110005,2022,proposed,approved,0
CA0110006,2022,groundwater,approved,5
CA0110006,2022,surface water,approved,0
CA0110006,2022,purchased groundwater,approved,0
CA0110006,2022,purchased surface water,approved,2
CA0110006,2022,standby sources,approved,0
CA0110006,2022,emergency interties,approved,0
CA0110006,2022,inactive,approved,0
CA0110006,2022,proposed,approved,0
CA0110008,2022,groundwater,approved,3
CA0110008,2022,surface water,approved,0
CA0110008,2022,purchased groundwater,approved,0
CA0110008,2022,purchased surface water,approved,1
CA0110008,2022,standby sources,approved,0
CA0110008,2022,emergency interties,approved,0
CA0110008,2022,inactive,approved,1
CA0110008,2022,proposed,approved,0
CA0110009,2022,groundwater,approved,0
CA0110009,2022,surface water,approved,0
CA0110009,2022,purchased groundwater,approved,0
CA0110009,2022,purchased surface water,approved,2
CA0110009,2022,standby sources,approved,0
CA0110009,2022,emergency interties,approved,0
CA0110009,2022,inactive,approved,2
CA0110009,2022,proposed,approved,0
CA0110011,2022,groundwater,approved,0
CA0110011,2022,surface water,approved,0
CA0110011,2022,purchased groundwater,approved,0
CA0110011,2022,purchased surface water,approved,3
CA0110011,2022,standby sources,approved,0
CA0110011,2022,emergency interties,approved,0
CA0110011,2022,inactive,approved,0
CA0110011,2022,proposed,approved,0
CA0210002,2022,groundwater,approved,4
CA0210002,2022,surface water,approved,0
CA0210002,2022,purchased groundwater,approved,0
CA0210002,2022,purchased surface water,approved,0
CA0210002,2022,standby sources,approved,0
CA0210002,2022,emergency interties,approved,0
CA0210002,2022,inactive,approved,2
CA0210002,2022,proposed,approved,0
CA0300037,2022,groundwater,approved,0
CA0300037,2022,surface water,approved,1
CA0300037,2022,purchased groundwater,approved,0
CA0300037,2022,purchased surface water,approved,0
CA0300037,2022,standby sources,approved,1
CA0300037,2022,emergency interties,approved,0
CA0300037,2022,inactive,approved,0
CA0300037,2022,proposed,approved,0
CA0310001,2022,groundwater,approved,0
CA0310001,2022,surface water,approved,0
CA0310001,2022,purchased groundwater,approved,0
CA0310001,2022,purchased surface water,approved,1
CA0310001,2022,standby sources,approved,0
CA0310001,2022,emergency interties,approved,0
CA0310001,2022,inactive,approved,1
CA0310001,2022,proposed,approved,0
CA0310002,2022,groundwater,approved,0
CA0310002,2022,surface water,approved,1
CA0310002,2022,purchased groundwater,approved,0
CA0310002,2022,purchased surface water,approved,0
CA0310002,2022,standby sources,approved,0
CA0310002,2022,emergency interties,approved,0
CA0310002,2022,inactive,approved,1
CA0310002,2022,proposed,approved,0
CA0310003,2022,groundwater,approved,0
CA0310003,2022,surface water,approved,1
CA0310003,2022,purchased groundwater,approved,0
CA0310003,2022,purchased surface water,approved,0
CA0310003,2022,standby sources,approved,0
CA0310003,2022,emergency interties,approved,0
CA0310003,2022,inactive,approved,0
CA0310003,2022,proposed,approved,0
CA0310012,2022,groundwater,approved,0
CA0310012,2022,surface water,approved,1
CA0310012,2022,purchased groundwater,approved,0
CA0310012,2022,purchased surface water,approved,0
CA0310012,2022,standby sources,approved,0
CA0310012,2022,emergency interties,approved,0
CA0310012,2022,inactive,approved,1
CA0310012,2022,proposed,approved,0
CA0410002,2022,groundwater,approved,54
CA0410002,2022,surface water,approved,0
CA0410002,2022,purchased groundwater,approved,0
CA0410002,2022,purchased surface water,approved,0
CA0410002,2022,standby sources,approved,1
CA0410002,2022,emergency interties,approved,0
CA0410002,2022,inactive,approved,23
CA0410002,2022,proposed,approved,0
CA0410004,2022,groundwater,approved,7
CA0410004,2022,surface water,approved,0
CA0410004,2022,purchased groundwater,approved,0
CA0410004,2022,purchased surface water,approved,0
CA0410004,2022,standby sources,approved,0
CA0410004,2022,emergency interties,approved,0
CA0410004,2022,inactive,approved,1
CA0410004,2022,proposed,approved,0
CA0410005,2022,groundwater,approved,1
CA0410005,2022,surface water,approved,1
CA0410005,2022,purchased groundwater,approved,0
CA0410005,2022,purchased surface water,approved,0
CA0410005,2022,standby sources,approved,1
CA0410005,2022,emergency interties,approved,0
CA0410005,2022,inactive,approved,2
CA0410005,2022,proposed,approved,0
CA0410006,2022,groundwater,approved,0
CA0410006,2022,surface water,approved,1
CA0410006,2022,purchased groundwater,approved,0
CA0410006,2022,purchased surface water,approved,0
CA0410006,2022,standby sources,approved,0
CA0410006,2022,emergency interties,approved,0
CA0410006,2022,inactive,approved,1
CA0410006,2022,proposed,approved,0
CA0410007,2022,groundwater,approved,1
CA0410007,2022,surface water,approved,1
CA0410007,2022,purchased groundwater,approved,0
CA0410007,2022,purchased surface water,approved,0
CA0410007,2022,standby sources,approved,0
CA0410007,2022,emergency interties,approved,0
CA0410007,2022,inactive,approved,0
CA0410007,2022,proposed,approved,0
CA0410008,2022,groundwater,approved,4
CA0410008,2022,surface water,approved,1
CA0410008,2022,purchased groundwater,approved,0
CA0410008,2022,purchased surface water,approved,0
CA0410008,2022,standby sources,approved,0
CA0410008,2022,emergency interties,approved,0
CA0410008,2022,inactive,approved,2
CA0410008,2022,proposed,approved,0
CA0410011,2022,groundwater,approved,4
CA0410011,2022,surface water,approved,0
CA0410011,2022,purchased groundwater,approved,0
CA0410011,2022,purchased surface water,approved,1
CA0410011,2022,standby sources,approved,0
CA0410011,2022,emergency interties,approved,0
CA0410011,2022,inactive,approved,2
CA0410011,2022,proposed,approved,0
CA0510001,2022,groundwater,approved,0
CA0510001,2022,surface water,approved,1
CA0510001,2022,purchased groundwater,approved,0
CA0510001,2022,purchased surface water,approved,0
CA0510001,2022,standby sources,approved,0
CA0510001,2022,emergency interties,approved,0
CA0510001,2022,inactive,approved,0
CA0510001,2022,proposed,approved,0
CA0510002,2022,groundwater,approved,0
CA0510002,2022,surface water,approved,1
CA0510002,2022,purchased groundwater,approved,0
CA0510002,2022,purchased surface water,approved,0
CA0510002,2022,standby sources,approved,0
CA0510002,2022,emergency interties,approved,0
CA0510002,2022,inactive,approved,0
CA0510002,2022,proposed,approved,0
CA0510003,2022,groundwater,approved,0
CA0510003,2022,surface water,approved,1
CA0510003,2022,purchased groundwater,approved,0
CA0510003,2022,purchased surface water,approved,0
CA0510003,2022,standby sources,approved,0
CA0510003,2022,emergency interties,approved,0
CA0510003,2022,inactive,approved,0
CA0510003,2022,proposed,approved,0
CA0510006,2022,groundwater,approved,0
CA0510006,2022,surface water,approved,1
CA0510006,2022,purchased groundwater,approved,0
CA0510006,2022,purchased surface water,approved,0
CA0510006,2022,standby sources,approved,0
CA0510006,2022,emergency interties,approved,0
CA0510006,2022,inactive,approved,0
CA0510006,2022,proposed,approved,0
CA0510009,2022,groundwater,approved,3
CA0510009,2022,surface water,approved,0
CA0510009,2022,purchased groundwater,approved,0
CA0510009,2022,purchased surface water,approved,1
CA0510009,2022,standby sources,approved,0
CA0510009,2022,emergency interties,approved,0
CA0510009,2022,inactive,approved,6
CA0510009,2022,proposed,approved,0
CA0510016,2022,groundwater,approved,0
CA0510016,2022,surface water,approved,3
CA0510016,2022,purchased groundwater,approved,0
CA0510016,2022,purchased surface water,approved,0
CA0510016,2022,standby sources,approved,0
CA0510016,2022,emergency interties,approved,0
CA0510016,2022,inactive,approved,0
CA0510016,2022,proposed,approved,0
CA0510017,2022,groundwater,approved,0
CA0510017,2022,surface water,approved,1
CA0510017,2022,purchased groundwater,approved,0
CA0510017,2022,purchased surface water,approved,0
CA0510017,2022,standby sources,approved,0
CA0510017,2022,emergency interties,approved,0
CA0510017,2022,inactive,approved,0
CA0510017,2022,proposed,approved,0
CA0610001,2022,groundwater,approved,4
CA0610001,2022,surface water,approved,0
CA0610001,2022,purchased groundwater,approved,0
CA0610001,2022,purchased surface water,approved,0
CA0610001,2022,standby sources,approved,0
CA0610001,2022,emergency interties,approved,0
CA0610001,2022,inactive,approved,1
CA0610001,2022,proposed,approved,0
CA0610002,2022,groundwater,approved,5
CA0610002,2022,surface water,approved,0
CA0610002,2022,purchased groundwater,approved,0
CA0610002,2022,purchased surface water,approved,0
CA0610002,2022,standby sources,approved,0
CA0610002,2022,emergency interties,approved,0
CA0610002,2022,inactive,approved,2
CA0610002,2022,proposed,approved,0
CA0610004,2022,groundwater,approved,2
CA0610004,2022,surface water,approved,0
CA0610004,2022,purchased groundwater,approved,0
CA0610004,2022,purchased surface water,approved,0
CA0610004,2022,standby sources,approved,0
CA0610004,2022,emergency interties,approved,0
CA0610004,2022,inactive,approved,6
CA0610004,2022,proposed,approved,0
CA0710001,2022,groundwater,approved,0
CA0710001,2022,surface water,approved,2
CA0710001,2022,purchased groundwater,approved,0
CA0710001,2022,purchased surface water,approved,2
CA0710001,2022,standby sources,approved,0
CA0710001,2022,emergency interties,approved,0
CA0710001,2022,inactive,approved,6
CA0710001,2022,proposed,approved,0
CA0710002,2022,groundwater,approved,2
CA0710002,2022,surface water,approved,0
CA0710002,2022,purchased groundwater,approved,0
CA0710002,2022,purchased surface water,approved,2
CA0710002,2022,standby sources,approved,0
CA0710002,2022,emergency interties,approved,1
CA0710002,2022,inactive,approved,3
CA0710002,2022,proposed,approved,0
CA0710003,2022,groundwater,approved,0
CA0710003,2022,surface water,approved,10
CA0710003,2022,purchased groundwater,approved,0
CA0710003,2022,purchased surface water,approved,3
CA0710003,2022,standby sources,approved,0
CA0710003,2022,emergency interties,approved,0
CA0710003,2022,inactive,approved,5
CA0710003,2022,proposed,approved,0
CA0710004,2022,groundwater,approved,6
CA0710004,2022,surface water,approved,0
CA0710004,2022,purchased groundwater,approved,0
CA0710004,2022,purchased surface water,approved,2
CA0710004,2022,standby sources,approved,0
CA0710004,2022,emergency interties,approved,0
CA0710004,2022,inactive,approved,11
CA0710004,2022,proposed,approved,0
CA0710006,2022,groundwater,approved,0
